rank,x,y,original_rgb,mask,chosen_palette,chosen_family,bucket,chosen_lab_distance,nearest_green,nearest_green_lab_distance,chosen_minus_nearest_green,green_weighted_choice
"27","36","104","89,149,68","greenSkin skin","Black Grey (A29)","neutral","black","63.43","Green (28)","11.81","51.62","Green (28)"
"28","41","94","108,139,61","greenSkin skin feature","Black Grey (A29)","neutral","black","57.46","Olive Green (330)","5.86","51.60","Olive Green (330)"
"29","41","97","108,157,77","greenSkin skin feature","Black Grey (A29)","neutral","black","63.57","Olive Green (330)","12.27","51.30","Olive Green (330)"
"30","34","104","100,148,66","greenSkin skin feature","Black Grey (A29)","neutral","black","62.23","Olive Green (330)","11.18","51.05","Olive Green (330)"
"31","38","101","100,141,61","greenSkin skin feature","Black Grey (A29)","neutral","black","59.40","Olive Green (330)","8.95","50.45","Olive Green (330)"
"32","36","65","111,148,65","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","57.20","Olive Green (330)","6.89","50.31","Olive Green (330)"
"33","65","12","154,202,128","greenSkin skin feature","Dark Brown (308)","brown","brown","73.83","Olive Green (330)","24.08","49.75","Olive Green (330)"
"34","41","98","83,142,66","greenSkin skin","Black Grey (A29)","neutral","black","60.21","Green (28)","10.73","49.47","Green (28)"
"35","61","9","135,162,82","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","57.34","Olive Green (330)","7.94","49.40","Olive Green (330)"
"36","37","103","97,150,70","greenSkin skin feature","Black Grey (A29)","neutral","black","62.49","Olive Green (330)","13.19","49.30","Olive Green (330)"
"37","36","70","101,155,65","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","62.73","Olive Green (330)","13.66","49.06","Olive Green (330)"
"38","40","98","116,159,86","greenSkin skin feature","Black Grey (A29)","neutral","black","61.19","Olive Green (330)","12.13","49.06","Olive Green (330)"
"39","72","17","139,176,143","greenSkin skin feature","Dark Brown (308)","brown","brown","57.35","Sand Green (151)","8.33","49.02","Sand Green (151)"
"40","21","114","103,164,75","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","64.31","Green (28)","15.84","48.47","Green (28)"
"41","37","102","94,144,65","greenSkin skin","Black Grey (A29)","neutral","black","60.59","Olive Green (330)","12.27","48.32","Olive Green (330)"
"42","53","10","126,152,76","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","54.03","Olive Green (330)","6.12","47.92","Olive Green (330)"
"43","48","69","102,154,79","greenSkin skin feature","Black Grey (A29)","neutral","black","61.54","Olive Green (330)","13.75","47.79","Olive Green (330)"
"44","41","95","91,128,45","greenSkin skin feature","Black Grey (A29)","neutral","black","57.44","Olive Green (330)","9.66","47.79","Olive Green (330)"
"45","35","104","92,146,70","greenSkin skin","Black Grey (A29)","neutral","black","60.41","Green (28)","12.64","47.77","Green (28)"
"46","21","69","106,139,60","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","54.05","Olive Green (330)","6.31","47.74","Olive Green (330)"
"47","36","102","111,163,90","greenSkin skin feature","Black Grey (A29)","neutral","black","62.92","Olive Green (330)","15.18","47.74","Olive Green (330)"
"48","15","114","94,155,76","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","59.14","Green (28)","11.91","47.23","Green (28)"
"49","60","25","106,159,75","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","60.70","Olive Green (330)","13.53","47.17","Olive Green (330)"
"50","64","10","146,178,97","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","60.78","Olive Green (330)","13.64","47.13","Olive Green (330)"
"51","37","104","104,157,85","greenSkin skin feature","Black Grey (A29)","neutral","black","61.32","Green (28)","14.29","47.03","Green (28)"
"52","27","107","103,148,67","greenSkin skin","Dark Bluish Gray (199)","neutral","gray","57.17","Olive Green (330)","10.14","47.03","Olive Green (330)"
"53","66","12","138,174,108","greenSkin skin","Dark Brown (308)","brown","brown","63.36","Olive Green (330)","16.48","46.88","Olive Green (330)"
"54","35","103","96,143,68","greenSkin skin feature","Black Grey (A29)","neutral","black","58.67","Olive Green (330)","11.87","46.80","Olive Green (330)"
"55","72","16","138,174,137","greenSkin skin","Dark Brown (308)","brown","brown","57.24","Sand Green (151)","10.47","46.77","Sand Green (151)"
"56","70","15","152,191,140","greenSkin skin","Dark Brown (308)","brown","brown","64.85","Sand Green (151)","18.11","46.73","Sand Green (151)"
"57","71","16","141,180,136","greenSkin skin","Dark Brown (308)","brown","brown","60.52","Sand Green (151)","13.88","46.64","Sand Green (151)"
"58","69","15","141,178,136","greenSkin skin feature","Dark Brown (308)","brown","brown","59.33","Sand Green (151)","12.94","46.39","Sand Green (151)"
"59","32","105","89,143,57","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","59.76","Olive Green (330)","13.50","46.26","Olive Green (330)"
"60","71","17","135,173,134","greenSkin skin feature","Dark Brown (308)","brown","brown","57.56","Sand Green (151)","11.35","46.21","Sand Green (151)"
"61","71","15","145,183,136","greenSkin skin","Dark Brown (308)","brown","brown","61.76","Sand Green (151)","15.61","46.15","Sand Green (151)"
"62","37","101","117,158,90","greenSkin skin feature","Black Grey (A29)","neutral","black","59.19","Olive Green (330)","13.10","46.09","Olive Green (330)"
"63","31","107","96,157,82","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","57.75","Green (28)","11.79","45.96","Green (28)"
"64","33","105","103,162,83","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","59.79","Green (28)","13.88","45.92","Green (28)"
"65","30","106","109,159,79","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","58.73","Olive Green (330)","12.83","45.90","Olive Green (330)"
"66","66","13","156,193,128","greenSkin skin","Dark Brown (308)","brown","brown","68.06","Olive Green (330)","22.37","45.70","Olive Green (330)"
"67","36","105","99,153,86","greenSkin skin feature","Black Grey (A29)","neutral","black","58.89","Green (28)","13.47","45.42","Green (28)"
"68","28","107","86,137,52","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","58.35","Olive Green (330)","12.93","45.42","Olive Green (330)"
"69","31","106","94,147,65","greenSkin skin","Dark Bluish Gray (199)","neutral","gray","58.42","Olive Green (330)","13.03","45.38","Olive Green (330)"
"70","108","31","116,149,75","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","53.19","Olive Green (330)","7.81","45.38","Olive Green (330)"
"71","16","114","86,144,67","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","56.66","Green (28)","11.29","45.37","Green (28)"
"72","66","11","134,164,100","greenSkin skin feature","Dark Brown (308)","brown","brown","59.54","Olive Green (330)","14.22","45.33","Olive Green (330)"
"73","68","15","139,177,132","greenSkin skin","Dark Brown (308)","brown","brown","59.74","Sand Green (151)","14.44","45.30","Sand Green (151)"
"74","70","16","140,180,131","greenSkin skin","Dark Brown (308)","brown","brown","61.60","Sand Green (151)","16.47","45.13","Sand Green (151)"
"75","35","105","90,143,73","greenSkin skin","Black Grey (A29)","neutral","black","57.60","Green (28)","12.47","45.13","Green (28)"
"76","52","74","119,155,89","greenSkin skin feature","Black Grey (A29)","neutral","black","57.45","Olive Green (330)","12.43","45.02","Olive Green (330)"
"77","32","106","81,140,65","greenSkin skin","Dark Bluish Gray (199)","neutral","gray","55.54","Green (28)","10.57","44.97","Green (28)"
"78","32","107","81,141,68","greenSkin skin","Dark Bluish Gray (199)","neutral","gray","54.93","Green (28)","10.03","44.89","Green (28)"
"79","36","106","77,134,65","greenSkin skin feature","Black Grey (A29)","neutral","black","55.93","Green (28)","11.08","44.86","Green (28)"
"80","21","113","99,154,75","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","58.25","Green (28)","13.62","44.63","Green (28)"
"81","66","34","121,171,93","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","59.73","Olive Green (330)","15.21","44.52","Olive Green (330)"
"82","69","16","134,169,131","greenSkin skin","Dark Brown (308)","brown","brown","55.84","Sand Green (151)","11.35","44.50","Sand Green (151)"
"83","70","14","142,172,135","greenSkin skin feature","Dark Brown (308)","brown","brown","55.85","Sand Green (151)","11.40","44.45","Sand Green (151)"
"84","29","107","86,142,65","greenSkin skin","Dark Bluish Gray (199)","neutral","gray","56.18","Green (28)","11.88","44.30","Green (28)"
"85","17","71","106,132,57","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","50.94","Olive Green (330)","6.79","44.15","Olive Green (330)"
"86","37","65","107,145,71","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","53.09","Olive Green (330)","9.06","44.03","Olive Green (330)"
"87","14","114","97,155,82","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","56.27","Green (28)","12.25","44.03","Green (28)"
"88","109","30","106,144,70","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","52.96","Olive Green (330)","9.06","43.90","Olive Green (330)"
"89","67","14","148,188,127","greenSkin skin","Dark Brown (308)","brown","brown","66.24","Olive Green (330)","22.35","43.89","Olive Green (330)"
"90","41","99","88,142,76","greenSkin skin feature","Black Grey (A29)","neutral","black","56.13","Green (28)","12.29","43.84","Green (28)"
"91","38","102","94,139,68","greenSkin skin feature","Black Grey (A29)","neutral","black","56.22","Olive Green (330)","12.40","43.81","Olive Green (330)"
"92","42","94","90,135,62","greenSkin skin feature","Black Grey (A29)","neutral","black","56.10","Olive Green (330)","12.31","43.79","Olive Green (330)"
"93","56","25","130,167,104","greenSkin skin feature","Black Grey (A29)","neutral","black","59.71","Olive Green (330)","16.03","43.68","Olive Green (330)"
"94","26","108","97,146,69","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","55.71","Olive Green (330)","12.13","43.58","Olive Green (330)"
"95","57","25","152,188,133","greenSkin skin feature","Black Grey (A29)","neutral","black","63.54","Sand Green (151)","20.08","43.47","Sand Green (151)"
"96","14","115","91,151,82","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","54.36","Green (28)","10.94","43.41","Green (28)"
"97","109","31","129,157,86","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","52.83","Olive Green (330)","9.50","43.33","Olive Green (330)"
"98","33","104","96,141,65","greenSkin skin feature","Dark Bluish Gray (199)","neutral","gray","54.23","Olive Green (330)","11.08","43.16","Olive Green (330)"
"99","111","29","117,163,89","greenSkin skin","Dark Bluish Gray (199)","neutral","gray","56.45","Olive Green (330)","13.34","43.11","Olive Green (330)"
"100","68","14","135,173,125","greenSkin skin feature","Dark Brown (308)","brown","brown","59.24","Sand Green (151)","16.14","43.10","Sand Green (151)"
